,Unnamed: 0,NUMBER,CONTRACT NAME,NAME,ADDRESS,POSITION,BANKING,BONUS,BIKE STANDS,AVAILABLE BIKE STANDS,AVAILABLE BIKES,STATUS,LAST UPDATE,DATES
787,109,83,dublin,EMMET ROAD,Emmet Road,"{'lat': 53.340714, 'lng': -6.308191}",False,False,40,22,18,OPEN,1670519878000,2022-12-08 17:17:58
788,110,92,dublin,HEUSTON BRIDGE (NORTH),Heuston Bridge (North),"{'lat': 53.347802, 'lng': -6.292432}",False,False,40,3,37,OPEN,1670519763000,2022-12-08 17:16:03
789,111,21,dublin,LEINSTER STREET SOUTH,Leinster Street South,"{'lat': 53.34218, 'lng': -6.254485}",False,False,30,10,20,OPEN,1670519908000,2022-12-08 17:18:28
790,112,88,dublin,BLACKHALL PLACE,Blackhall Place,"{'lat': 53.3488, 'lng': -6.281637}",False,False,30,27,3,OPEN,1670519514000,2022-12-08 17:11:54
791,0,42,dublin,SMITHFIELD NORTH,Smithfield North,"{'lat': 53.349562, 'lng': -6.278198}",False,False,30,29,1,OPEN,1670521087000,2022-12-08 17:38:07
792,1,30,dublin,PARNELL SQUARE NORTH,Parnell Square North,"{'lat': 53.3537415547453, 'lng': -6.26530144781526}",False,False,20,18,2,OPEN,1670520884000,2022-12-08 17:34:44
793,2,54,dublin,CLONMEL STREET,Clonmel Street,"{'lat': 53.336021, 'lng': -6.26298}",False,False,33,15,18,OPEN,1670521084000,2022-12-08 17:38:04
794,3,108,dublin,AVONDALE ROAD,Avondale Road,"{'lat': 53.359405, 'lng': -6.276142}",False,False,35,22,13,OPEN,1670520831000,2022-12-08 17:33:51
795,4,20,dublin,JAMES STREET EAST,James Street East,"{'lat': 53.336597, 'lng': -6.248109}",False,False,30,17,13,OPEN,1670520952000,2022-12-08 17:35:52
796,5,56,dublin,MOUNT STREET LOWER,Mount Street Lower,"{'lat': 53.33796, 'lng': -6.24153}",False,False,40,33,7,OPEN,1670520805000,2022-12-08 17:33:25
797,6,6,dublin,CHRISTCHURCH PLACE,Christchurch Place,"{'lat': 53.343368, 'lng': -6.27012}",False,False,20,14,6,OPEN,1670520541000,2022-12-08 17:29:01
798,7,18,dublin,GRANTHAM STREET,Grantham Street,"{'lat': 53.334123, 'lng': -6.265436}",False,False,30,12,18,OPEN,1670521087000,2022-12-08 17:38:07
799,8,32,dublin,PEARSE STREET,Pearse Street,"{'lat': 53.344304, 'lng': -6.250427}",False,False,30,7,23,OPEN,1670520979000,2022-12-08 17:36:19
800,9,52,dublin,YORK STREET EAST,York Street East,"{'lat': 53.338755, 'lng': -6.262003}",False,False,32,19,12,OPEN,1670521014000,2022-12-08 17:36:54
801,10,48,dublin,EXCISE WALK,Excise Walk,"{'lat': 53.347777, 'lng': -6.244239}",False,False,40,37,3,OPEN,1670520914000,2022-12-08 17:35:14
802,11,13,dublin,FITZWILLIAM SQUARE WEST,Fitzwilliam Square West,"{'lat': 53.336074, 'lng': -6.252825}",False,False,30,23,7,OPEN,1670520589000,2022-12-08 17:29:49
803,12,43,dublin,PORTOBELLO ROAD,Portobello Road,"{'lat': 53.330091, 'lng': -6.268044}",False,False,30,10,20,OPEN,1670521102000,2022-12-08 17:38:22
804,13,31,dublin,PARNELL STREET,Parnell Street,"{'lat': 53.350929, 'lng': -6.265125}",False,False,20,11,9,OPEN,1670520647000,2022-12-08 17:30:47
805,14,98,dublin,FREDERICK STREET SOUTH,Frederick Street South,"{'lat': 53.341515, 'lng': -6.256853}",False,False,40,25,15,OPEN,1670520944000,2022-12-08 17:35:44
806,15,14,dublin,FOWNES STREET UPPER,Fownes Street Upper,"{'lat': 53.344603, 'lng': -6.263371}",False,False,30,8,22,OPEN,1670520838000,2022-12-08 17:33:58
807,16,1,dublin,CLARENDON ROW,Clarendon Row,"{'lat': 53.340927, 'lng': -6.262501}",False,False,31,9,22,OPEN,1670520906000,2022-12-08 17:35:06
808,17,23,dublin,CUSTOM HOUSE,Custom House,"{'lat': 53.348279, 'lng': -6.254662}",False,False,30,14,16,OPEN,1670521134000,2022-12-08 17:38:54
809,18,106,dublin,RATHDOWN ROAD,Rathdown Road,"{'lat': 53.35893, 'lng': -6.280337}",False,False,40,26,14,OPEN,1670520859000,2022-12-08 17:34:19
810,19,112,dublin,NORTH CIRCULAR ROAD (O'CONNELL'S),North Circular Road (O'Connell's),"{'lat': 53.357841, 'lng': -6.251557}",False,False,30,9,21,OPEN,1670521046000,2022-12-08 17:37:26
811,20,68,dublin,HANOVER QUAY,Hanover Quay,"{'lat': 53.344115, 'lng': -6.237153}",False,False,40,22,18,OPEN,1670521104000,2022-12-08 17:38:24
812,21,74,dublin,OLIVER BOND STREET,Oliver Bond Street,"{'lat': 53.343893, 'lng': -6.280531}",False,False,30,20,10,OPEN,1670520703000,2022-12-08 17:31:43
813,22,87,dublin,COLLINS BARRACKS MUSEUM,Collins Barracks Museum,"{'lat': 53.347477, 'lng': -6.28525}",False,False,38,31,7,OPEN,1670520744000,2022-12-08 17:32:24
814,23,84,dublin,BROOKFIELD ROAD,Brookfield Road,"{'lat': 53.339005, 'lng': -6.300217}",False,False,30,20,10,OPEN,1670520874000,2022-12-08 17:34:34
815,24,90,dublin,BENSON STREET,Benson Street,"{'lat': 53.344153, 'lng': -6.233451}",False,False,40,28,11,OPEN,1670520953000,2022-12-08 17:35:53
816,25,11,dublin,EARLSFORT TERRACE,Earlsfort Terrace,"{'lat': 53.334295, 'lng': -6.258503}",False,False,30,24,6,OPEN,1670520666000,2022-12-08 17:31:06
817,26,17,dublin,GOLDEN LANE,Golden Lane,"{'lat': 53.340803, 'lng': -6.267732}",False,False,20,18,2,OPEN,1670520945000,2022-12-08 17:35:45
818,27,45,dublin,DEVERELL PLACE,Deverell Place,"{'lat': 53.351464, 'lng': -6.255265}",False,False,30,23,7,OPEN,1670521022000,2022-12-08 17:37:02
819,28,114,dublin,WILTON TERRACE (PARK),Wilton Terrace (Park),"{'lat': 53.333653, 'lng': -6.248345}",False,False,40,22,18,OPEN,1670520844000,2022-12-08 17:34:04
820,29,72,dublin,JOHN STREET WEST,John Street West,"{'lat': 53.343105, 'lng': -6.277167}",False,False,31,25,6,OPEN,1670521116000,2022-12-08 17:38:36
821,30,63,dublin,FENIAN STREET,Fenian Street,"{'lat': 53.341428, 'lng': -6.24672}",False,False,35,21,14,OPEN,1670520782000,2022-12-08 17:33:02
822,31,113,dublin,MERRION SQUARE SOUTH,Merrion Square South,"{'lat': 53.338614, 'lng': -6.248606}",False,False,40,29,11,OPEN,1670520767000,2022-12-08 17:32:47
823,32,91,dublin,SOUTH DOCK ROAD,South Dock Road,"{'lat': 53.341833, 'lng': -6.231291}",False,False,30,8,22,OPEN,1670521105000,2022-12-08 17:38:25
824,33,99,dublin,CITY QUAY,City Quay,"{'lat': 53.346637, 'lng': -6.246154}",False,False,30,21,9,OPEN,1670520799000,2022-12-08 17:33:19
825,34,9,dublin,EXCHEQUER STREET,Exchequer Street,"{'lat': 53.343034, 'lng': -6.263578}",False,False,24,0,24,OPEN,1670520784000,2022-12-08 17:33:04
826,35,67,dublin,THE POINT,The Point,"{'lat': 53.346867, 'lng': -6.230852}",False,False,40,23,17,OPEN,1670521030000,2022-12-08 17:37:10
827,36,116,dublin,BROADSTONE,Broadstone,"{'lat': 53.3547, 'lng': -6.272314}",False,False,30,27,3,OPEN,1670521086000,2022-12-08 17:38:06
828,37,55,dublin,HATCH STREET,Hatch Street,"{'lat': 53.33403, 'lng': -6.260714}",False,False,36,21,15,OPEN,1670520796000,2022-12-08 17:33:16
829,38,62,dublin,LIME STREET,Lime Street,"{'lat': 53.346026, 'lng': -6.243576}",False,False,40,25,15,OPEN,1670520619000,2022-12-08 17:30:19
830,39,5,dublin,CHARLEMONT PLACE,Charlemont Street,"{'lat': 53.330662, 'lng': -6.260177}",False,False,40,28,12,OPEN,1670521109000,2022-12-08 17:38:29
831,40,97,dublin,KILMAINHAM GAOL,Kilmainham Gaol,"{'lat': 53.342113, 'lng': -6.310015}",False,False,40,28,11,OPEN,1670521081000,2022-12-08 17:38:01
